mode,agent,seeds,rounds,mean_score_per_round,mean_first_place_rate,mean_unique_first_rate,mean_rank,mean_survival_rate,mean_self_kill_rate,mean_kills_per_round,mean_coins_per_round,mean_invalid_per_round,mean_score_diff_to_best_opponent,mean_think_time_seconds,all_score_reconstructions_match
benchmark_linear,linear_q_agent,3,300,4.486666666666667,0.42333333333333334,0.3666666666666667,2.223333333333333,0.37999999999999995,0.38666666666666666,0.41,2.436666666666667,1.4233333333333331,-1.1500000000000001,0.0014903370552957667,1
benchmark_sarsa,sarsa_lambda_agent,3,300,4.806666666666667,0.45999999999999996,0.4033333333333333,1.9716666666666667,0.7066666666666667,0.16333333333333333,0.3433333333333333,3.09,3.4499999999999997,-0.4066666666666667,0.0013586828919503694,1
duel_linear_first,linear_q_agent,3,300,3.8266666666666667,0.25666666666666665,0.21333333333333335,2.535,0.21333333333333335,0.4366666666666667,0.3433333333333333,2.11,1.2533333333333332,-3.516666666666667,0.0014178746105278524,1
duel_linear_first,sarsa_lambda_agent,3,300,5.28,0.4533333333333333,0.41,2.0683333333333334,0.5433333333333333,0.25333333333333335,0.4666666666666666,2.9466666666666668,2.0500000000000003,-1.0233333333333332,0.0013143775171953244,1
duel_sarsa_first,linear_q_agent,3,300,3.9133333333333336,0.3,0.25333333333333335,2.4966666666666666,0.3033333333333333,0.43,0.37333333333333335,2.0466666666666664,1.4100000000000001,-2.723333333333333,0.0014190738353926455,1
duel_sarsa_first,sarsa_lambda_agent,3,300,5.093333333333334,0.43333333333333335,0.38000000000000006,2.025,0.5366666666666667,0.28,0.42333333333333334,2.9766666666666666,2.17,-0.9333333333333332,0.0013434339180914308,1
