feature,reward,n_seeds,seeds,train_avg_coins_mean,train_avg_coins_std,train_final100_avg_coins_mean,train_final100_avg_coins_std,eval_avg_coins_mean,eval_avg_coins_std,eval_median_coins_mean,eval_median_coins_std,completion_rate_mean,completion_rate_std,timeout_rate_mean,timeout_rate_std,completed_avg_steps_mean,completed_avg_steps_std
F0,sparse,3,"123,456,2026",11.754444444444443,0.7466077605732132,6.256666666666667,0.2902297940138696,2.92,0.6199999999999999,2.3333333333333335,1.1547005383792515,0.0,0.0,1.0,0.0,,
F0,basic,3,"123,456,2026",13.182222222222222,0.33942898673660304,5.963333333333333,0.3100537587795592,3.83,0.9378699270154683,2.8333333333333335,1.2583057392117916,0.0,0.0,1.0,0.0,,
F0,shaped,3,"123,456,2026",31.291666666666668,0.3126099806468127,26.293333333333333,1.64961611695974,3.87,0.5126402247190517,2.6666666666666665,0.5773502691896257,0.0,0.0,1.0,0.0,,
F1,sparse,3,"123,456,2026",47.80722222222222,0.01828275852433793,49.99666666666667,0.005773502691895109,47.86333333333334,1.0165792312128608,49.666666666666664,0.5773502691896257,0.58,0.11999999999999997,0.42,0.12000000000000002,124.70490469051188,1.1494080117692815
F1,basic,3,"123,456,2026",47.81055555555555,0.03189972715545985,49.99666666666667,0.005773502691895109,48.343333333333334,0.6370504951205452,50.0,0.0,0.6466666666666666,0.10214368964029705,0.35333333333333333,0.10214368964029706,125.78860936408107,0.14195648513984777
F1,shaped,3,"123,456,2026",47.87166666666667,0.04969350505292069,50,0.0,44.766666666666666,2.7194913740134092,47.833333333333336,2.565800719723442,0.37333333333333335,0.12662279942148386,0.6266666666666667,0.12662279942148386,124.39530991883933,2.2031517580732927
