condition,rounds,mean_sarsa_minus_linear_score,sarsa_higher_score_rate,linear_higher_score_rate,equal_score_rate,sarsa_first_place_rate,linear_first_place_rate,sarsa_mean_rank,linear_mean_rank,sarsa_survival_rate,linear_survival_rate
duel_sarsa_first,300,1.18,0.59,0.36,0.05,0.43333333333333335,0.3,2.025,2.4966666666666666,0.5366666666666666,0.30333333333333334
duel_linear_first,300,1.4533333333333334,0.5833333333333334,0.3466666666666667,0.07,0.4533333333333333,0.25666666666666665,2.0683333333333334,2.535,0.5433333333333333,0.21333333333333335
combined_direct_tournament,600,1.3166666666666667,0.5866666666666667,0.35333333333333333,0.06,0.44333333333333336,0.2783333333333333,2.046666666666667,2.515833333333333,0.54,0.25833333333333336
