feature,reward,n_seeds,seeds,train_avg_coins_mean,train_avg_coins_std,train_final100_avg_coins_mean,train_final100_avg_coins_std,train_self_kill_rate_mean,train_self_kill_rate_std,train_final100_self_kill_rate_mean,train_final100_self_kill_rate_std,eval_avg_coins_mean,eval_avg_coins_std,eval_median_coins_mean,eval_median_coins_std,eval_self_kill_rate_mean,eval_self_kill_rate_std,eval_avg_steps_mean,eval_avg_steps_std,completion_rate_mean,completion_rate_std,timeout_rate_mean,timeout_rate_std,completed_avg_steps_mean,completed_avg_steps_std
F2,basic,3,"123,456,2026",0.29444444444444445,0.13329513341676277,0.42333333333333334,0.42852460061626957,0.7677777777777778,0.009179284245476827,0.44666666666666666,0.1556705923844749,0.6333333333333333,0.9064950818031685,0.3333333333333333,0.5773502691896257,0.29000000000000004,0.26229754097208,286.22,103.40842470514674,0.0,0.0,0.71,0.26229754097208,,
F2,shaped,3,"123,456,2026",0.6877777777777778,0.283197679944462,1.37,0.6369458375717673,0.7716666666666666,0.06027713773341708,0.6233333333333333,0.04725815626252613,0.57,0.2951270912674741,0.0,0.0,0.35333333333333333,0.3950105483823607,274.91333333333336,143.33569839134051,0.0,0.0,0.6466666666666667,0.3950105483823607,,
F3,shaped,3,"123,456,2026",1.1294444444444445,0.031284240500669164,2.236666666666667,0.5132575701666107,0.7227777777777777,0.013368010461684435,0.49,0.034641016151377574,1.04,0.3174901573277508,0.3333333333333333,0.5773502691896257,0.42666666666666664,0.17897858344878395,256.1066666666667,73.9610981079468,0.0,0.0,0.5733333333333334,0.178978583448784,,
F4,shaped,3,"123,456,2026",2.223333333333333,0.16166666666666668,3.96,0.44305755833751426,0.7561111111111111,0.009765775461803853,0.44333333333333336,0.04041451884327379,2.8333333333333335,0.42442117446392,2.3333333333333335,0.5773502691896257,0.11333333333333333,0.12662279942148386,358.61,50.52291658247769,0.0,0.0,0.8866666666666667,0.12662279942148386,,
F5,shaped,3,"123,456,2026",2.383888888888889,0.0973300988808094,4.736666666666667,0.4479211240088295,0.7561111111111111,0.01601503922822173,0.3833333333333333,0.04041451884327381,5.616666666666666,1.299397296185171,6.0,1.0,0.18,0.2193171219946131,354.1333333333333,61.09352366113232,0.0,0.0,0.82,0.21931712199461312,,
